01-23 19:35:39 [DEBUG] MainProcess - root: Logging system initialized. Console: INFO, File: experiments/B0_Early_baselines/B0.5/sweep/sweep.log
01-23 19:35:39 [INFO] MainProcess - __main__: ============================================================
01-23 19:35:39 [INFO] MainProcess - __main__: B0.5 GRID SWEEP
01-23 19:35:39 [INFO] MainProcess - __main__: ============================================================
01-23 19:35:39 [INFO] MainProcess - __main__: Pool: experiments/B0_Early_baselines/B0.5/pool_natural
01-23 19:35:39 [INFO] MainProcess - __main__: Output: experiments/B0_Early_baselines/B0.5/sweep
01-23 19:35:39 [INFO] MainProcess - __main__: Eta values: 15 (-0.05 to 0.05)
01-23 19:35:39 [INFO] MainProcess - __main__: Decay values: 5 ([0, 1e-05, 0.0001, 0.001, 0.01])
01-23 19:35:39 [INFO] MainProcess - __main__: Grid size: 75 combinations
01-23 19:35:39 [INFO] MainProcess - __main__: ============================================================
01-23 19:35:39 [INFO] MainProcess - __main__: Networks to process: 50000
01-23 19:35:39 [INFO] MainProcess - __main__: Total evaluations: 3750000
01-23 19:35:48 [INFO] MainProcess - __main__: Tasks to run: 3750000
01-23 19:35:48 [INFO] MainProcess - __main__: Workers: 16
01-23 19:36:50 [INFO] MainProcess - __main__: Starting 3750000 evaluations with 16 workers...
01-23 20:48:23 [INFO] MainProcess - __main__: [20:48:23] Progress: 140000/3750000 (3.7%) | Improved: 8394/140000 (6.0%) | Mean Δ: -0.0004 | ETA: 31.2h
01-23 20:51:02 [INFO] MainProcess - __main__: [20:51:02] Progress: 145000/3750000 (3.9%) | Improved: 8662/145000 (6.0%) | Mean Δ: -0.0003 | ETA: 31.2h
01-23 20:53:48 [INFO] MainProcess - __main__: [20:53:48] Progress: 150000/3750000 (4.0%) | Improved: 8919/150000 (5.9%) | Mean Δ: -0.0003 | ETA: 31.2h
01-23 20:56:27 [INFO] MainProcess - __main__: [20:56:27] Progress: 155000/3750000 (4.1%) | Improved: 9075/155000 (5.9%) | Mean Δ: -0.0004 | ETA: 31.2h
01-23 20:59:25 [INFO] MainProcess - __main__: [20:59:25] Progress: 160000/3750000 (4.3%) | Improved: 9420/160000 (5.9%) | Mean Δ: -0.0003 | ETA: 31.3h
01-23 21:02:18 [INFO] MainProcess - __main__: [21:02:18] Progress: 165000/3750000 (4.4%) | Improved: 9722/165000 (5.9%) | Mean Δ: -0.0004 | ETA: 31.3h
01-23 21:05:15 [INFO] MainProcess - __main__: [21:05:15] Progress: 170000/3750000 (4.5%) | Improved: 10104/170000 (5.9%) | Mean Δ: -0.0002 | ETA: 31.4h
01-23 21:07:31 [INFO] MainProcess - __main__: [21:07:31] Progress: 175000/3750000 (4.7%) | Improved: 10435/175000 (6.0%) | Mean Δ: -0.0002 | ETA: 31.2h
01-23 21:10:39 [INFO] MainProcess - __main__: [21:10:39] Progress: 180000/3750000 (4.8%) | Improved: 10794/180000 (6.0%) | Mean Δ: -0.0003 | ETA: 31.4h
01-23 21:14:24 [INFO] MainProcess - __main__: [21:14:24] Progress: 185000/3750000 (4.9%) | Improved: 11315/185000 (6.1%) | Mean Δ: -0.0003 | ETA: 31.7h
