From,To_Weak_count,To_Weak_frac,To_Low-mid_count,To_Low-mid_frac,To_High-mid_count,To_High-mid_frac,To_Near-perfect_count,To_Near-perfect_frac,To_Perfect_count,To_Perfect_frac
Weak,568,0.9759450171821306,11,0.018900343642611683,1,0.001718213058419244,0,0.0,2,0.003436426116838488
Low-mid,74,0.06080525883319639,878,0.7214461791290058,114,0.09367296631059983,23,0.018898931799506986,128,0.10517666392769104
High-mid,19,0.06810035842293907,22,0.07885304659498207,73,0.2616487455197133,23,0.08243727598566308,142,0.5089605734767025
Near-perfect,2,0.028169014084507043,0,0.0,5,0.07042253521126761,32,0.4507042253521127,32,0.4507042253521127
Perfect,3,0.004207573632538569,1,0.001402524544179523,3,0.004207573632538569,6,0.008415147265077139,700,0.9817671809256662
